Organisation Name,org_name_normalized,has_multiple_towns,has_multiple_counties,Town/City,County,Type & Rating,Route,raw_name_variants,match_status,match_error,best_candidate_score,best_candidate_title,best_candidate_company_number
8668 Ltd T/A Rainbow Bridge,8668 t a rainbow bridge,False,False,Londonderry,,Worker (A rating),Skilled Worker,8668 Ltd T/A Rainbow Bridge,unmatched,,0.5335,RAINBOW BRIDGE LIMITED,03267903
89BK LTD T/A Quadrant Local - Premier Store,89bk t a quadrant local premier store,False,False,Manchester,,Worker (A rating),Skilled Worker,89BK LTD T/A Quadrant Local - Premier Store,unmatched,,0.5125,LOCAL PREMIER STORE LTD,16092232
8PE SALMOND LTD t/a Wanderwoods,8pe salmond t a wanderwoods,False,False,Preston,,Worker (A rating),Skilled Worker,8PE SALMOND LTD t/a Wanderwoods,unmatched,,0.403,8PE SALMOND LTD,12383591
8PM Chemist Ltd,8pm chemist,False,False,Willenhall,West Midlands,Worker (A rating),Skilled Worker,8PM Chemist Ltd,unmatched,,0.5667,8P.M. CHEMIST LIMITED,02737126
8th Earl Spencer's Family Settlement,8th earl spencer s family settlement,False,False,Althorp,Northamptonshire,Worker (A rating),Skilled Worker,8th Earl Spencer's Family Settlement,unmatched,,0.4667,THE JOHNSTON FAMILY SETTLEMENT COMPANY LTD,NI632118
92 Higher Drive Ltd T/A Highfield House,92 higher drive t a highfield house,False,False,Purley,Surrey,Worker (A rating),Skilled Worker,92 Higher Drive Ltd T/A Highfield House,unmatched,,0.4786,92 HIGHER DRIVE LIMITED,01906108
92721 LTD trading as Decorum Restaurant,92721 trading as decorum restaurant,False,False,Birmingham,WEST MIDLANDS,Worker (A rating),Skilled Worker,92721 LTD trading as Decorum Restaurant,unmatched,,0.4917,DANGOTE RESTAURANT TRADING AS ROSE KITCHEN LIMITED,12819636
94 Dental,94 dental,False,False,Newport,,Worker (A rating),Skilled Worker,94 Dental,unmatched,,0.4278,AHR 94 LTD,SC571740
99 HIGH STREET LTD T/A SPICE ROUGE,99 high street t a spice rouge,False,False,"Stevenage,",Hertfordshire,Worker (A rating),Skilled Worker,99 HIGH STREET LTD T/A SPICE ROUGE,unmatched,,0.6238,99 HIGH STREET LTD,14283684
99 V LIMITED t/a Victorious Tattoo Glasgow,99 v t a victorious tattoo glasgow,False,False,Glasgow,,Worker (A rating),Skilled Worker,99 V LIMITED t/a Victorious Tattoo Glasgow,unmatched,,0.5035,PARADISE TATTOO GLASGOW LTD,SC823360
9900 Capital Ltd,9900 capital,False,False,London,,Worker (A rating),Skilled Worker,9900 Capital Ltd,unmatched,,0.5967,BNVT CAPITAL LTD,14177863
99Plus1 Ltd T/A Seoul Food,99plus1 t a seoul food,False,False,New Malden,Surrey,Worker (A rating),Skilled Worker,99Plus1 Ltd T/A Seoul Food,unmatched,,0.5227,SEOUL FOOD RESTAURANT LTD,14067024
A & A CORPORATION LTD T/A HOLYBOURNE SHOP & POST OFFICE,a a t a holybourne shop post office,False,False,ALTON,,Worker (A rating),Skilled Worker,A & A CORPORATION LTD T/A HOLYBOURNE SHOP & POST OFFICE,unmatched,,0.4938,HORSTED KEYNES POST OFFICE AND SHOP ASSOCIATION LIMITED,IP29183R
A & D GLOBAL PVT LTD T/A Hope Street Restaurant,a d global pvt t a hope street restaurant,False,False,Belfast,,Worker (A rating),Skilled Worker,A & D GLOBAL PVT LTD T/A Hope Street Restaurant,unmatched,,0.5666,A & D GLOBAL PVT LTD,NI644132
